timestamp,fault
"17:13:08.635","Steering timeout"
"17:13:08.635","PC timeout"
"17:13:15.694","Steering timeout"
"17:13:15.694","PC timeout"
"17:13:17.712","Steering timeout"
"17:13:17.712","PC timeout"
"17:13:24.771","Steering timeout"
"17:13:24.771","PC timeout"
"17:13:27.788","Steering timeout"
"17:13:27.788","PC timeout"
"17:13:31.831","Steering timeout"
"17:13:31.831","PC timeout"
"17:13:42.969","Steering timeout"
"17:13:42.969","PC timeout"
"17:13:44.989","Steering timeout"
"17:13:44.989","PC timeout"
"17:13:48.027","Steering timeout"
"17:13:48.027","PC timeout"
"17:13:53.087","Steering timeout"
"17:13:53.087","PC timeout"
"17:13:58.133","Steering timeout"
"17:13:58.133","PC timeout"
"17:14:06.207","Steering timeout"
"17:14:06.207","PC timeout"
"17:14:08.228","Steering timeout"
"17:14:08.228","PC timeout"
"17:14:11.264","Steering timeout"
"17:14:11.264","PC timeout"
"17:14:15.282","Steering timeout"
"17:14:15.282","PC timeout"
"17:14:18.305","Steering timeout"
"17:14:18.305","PC timeout"
"17:14:20.334","Steering timeout"
"17:14:20.334","PC timeout"
"17:14:24.382","Steering timeout"
"17:14:24.382","PC timeout"
"17:14:26.406","Steering timeout"
"17:14:26.406","PC timeout"
"17:14:33.461","Steering timeout"
"17:14:33.461","PC timeout"
"17:14:37.477","Steering timeout"
"17:14:37.477","PC timeout"
"17:14:39.491","Steering timeout"
"17:14:39.491","PC timeout"
"17:14:44.529","Steering timeout"
"17:14:44.529","PC timeout"
"17:14:47.553","Steering timeout"
"17:14:47.553","PC timeout"
"17:14:49.572","Steering timeout"
"17:14:49.572","PC timeout"
"17:14:51.586","Steering timeout"
"17:14:51.586","PC timeout"
"17:14:54.617","Steering timeout"
"17:14:54.617","PC timeout"
"17:15:05.707","Steering timeout"
"17:15:05.707","PC timeout"
"17:15:12.766","Steering timeout"
"17:15:12.766","PC timeout"
"17:15:14.782","Steering timeout"
"17:15:14.782","PC timeout"
"17:15:16.808","Steering timeout"
"17:15:16.808","PC timeout"
"17:15:20.844","Steering timeout"
"17:15:20.844","PC timeout"
"17:15:23.862","Steering timeout"
"17:15:23.862","PC timeout"
"17:15:27.890","Steering timeout"
"17:15:27.890","PC timeout"
"17:15:29.896","Steering timeout"
"17:15:29.896","PC timeout"
"17:15:32.936","Steering timeout"
"17:15:32.936","PC timeout"
"17:15:34.956","Steering timeout"
"17:15:34.956","PC timeout"
"17:15:42.050","Steering timeout"
"17:15:42.050","PC timeout"
"17:15:48.133","Steering timeout"
"17:15:48.133","PC timeout"
"17:15:51.175","Steering timeout"
"17:15:51.175","PC timeout"
"17:15:53.180","Steering timeout"
"17:15:53.180","PC timeout"
"17:15:56.196","Steering timeout"
"17:15:56.196","PC timeout"
"17:15:58.223","Steering timeout"
"17:15:58.223","PC timeout"
"17:16:03.288","Steering timeout"
"17:16:03.288","PC timeout"
"17:16:10.351","Steering timeout"
"17:16:10.351","PC timeout"
"17:16:19.465","Steering timeout"
"17:16:19.465","PC timeout"
"17:16:23.492","Steering timeout"
"17:16:23.492","PC timeout"
"17:16:26.525","Steering timeout"
"17:16:26.525","PC timeout"
"17:16:38.616","Steering timeout"
"17:16:38.616","PC timeout"
"17:16:40.641","Steering timeout"
"17:16:40.641","PC timeout"
"17:16:43.661","Steering timeout"
"17:16:43.661","PC timeout"
"17:16:48.696","Steering timeout"
"17:16:48.696","PC timeout"
"17:16:51.731","Steering timeout"
"17:16:51.731","PC timeout"
"17:16:53.756","Steering timeout"
"17:16:53.756","PC timeout"
"17:16:57.798","Steering timeout"
"17:16:57.798","PC timeout"
"17:17:01.855","Steering timeout"
"17:17:01.855","PC timeout"
"17:17:03.869","Steering timeout"
"17:17:03.869","PC timeout"
"17:17:10.932","Steering timeout"
"17:17:10.932","PC timeout"
"17:17:18.998","Steering timeout"
"17:17:18.998","PC timeout"
"17:17:21.023","Steering timeout"
"17:17:21.023","PC timeout"
"17:17:23.037","Steering timeout"
"17:17:23.037","PC timeout"
"17:17:27.078","Steering timeout"
"17:17:27.078","PC timeout"
"17:17:29.100","Steering timeout"
"17:17:29.100","PC timeout"
"17:17:33.153","Steering timeout"
"17:17:33.153","PC timeout"
"17:17:40.235","Steering timeout"
"17:17:40.235","PC timeout"
"17:17:47.313","Steering timeout"
"17:17:47.313","PC timeout"
"17:17:52.360","Steering timeout"
"17:17:52.360","PC timeout"
